"Nombre","Tama?o_KB","Ultimo_Giro","Estado","Bot_Asignado"
"__init__.py","1,42","31/01/2026 15:53:51","ACTIVO","N?cleo"
"abstract_operations_base_client.py","14,8","31/01/2026 15:53:51","ACTIVO","N?cleo"
"abstract_operations_client.py","15,7","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operations_async_client.py","14,45","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operations_client.py","14,92","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operations_client_config.py","2,23","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operations_rest_client_async.py","14,27","31/01/2026 15:53:51","ACTIVO","N?cleo"
"pagers.py","2,41","31/01/2026 15:53:51","ACTIVO","N?cleo"
"pagers_async.py","2,56","31/01/2026 15:53:51","ACTIVO","N?cleo"
"pagers_base.py","2,59","31/01/2026 15:53:51","ACTIVO","N?cleo"
"__init__.py","1,6","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_base.py","12,59","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_streaming.py","10,77","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_streaming_async.py","14,18","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_unary.py","13,2","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_unary_async.py","9,37","31/01/2026 15:53:51","ACTIVO","N?cleo"
"__init__.py","2,04","31/01/2026 15:53:51","ACTIVO","N?cleo"
"bidi.py","27,03","31/01/2026 15:53:51","ACTIVO","N?cleo"
"bidi_async.py","8,57","31/01/2026 15:53:51","ACTIVO","N?cleo"
"bidi_base.py","3,41","31/01/2026 15:53:51","ACTIVO","N?cleo"
"client_info.py","4","31/01/2026 15:53:51","ACTIVO","N?cleo"
"client_logging.py","4,91","31/01/2026 15:53:51","ACTIVO","N?cleo"
"client_options.py","6,7","31/01/2026 15:53:51","ACTIVO","N?cleo"
"datetime_helpers.py","8,82","31/01/2026 15:53:51","ACTIVO","N?cleo"
"exceptions.py","20,65","31/01/2026 15:53:51","ACTIVO","N?cleo"
"extended_operation.py","8,43","31/01/2026 15:53:51","ACTIVO","N?cleo"
"general_helpers.py","2,23","31/01/2026 15:53:51","ACTIVO","N?cleo"
"grpc_helpers.py","24,44","31/01/2026 15:53:51","ACTIVO","N?cleo"
"grpc_helpers_async.py","12,92","31/01/2026 15:53:51","ACTIVO","N?cleo"
"iam.py","12,9","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operation.py","12,89","31/01/2026 15:53:51","ACTIVO","N?cleo"
"operation_async.py","7,86","31/01/2026 15:53:51","ACTIVO","N?cleo"
"page_iterator.py","19,85","31/01/2026 15:53:51","ACTIVO","N?cleo"
"page_iterator_async.py","10,05","31/01/2026 15:53:51","ACTIVO","N?cleo"
"path_template.py","11,41","31/01/2026 15:53:51","ACTIVO","N?cleo"
"protobuf_helpers.py","12,16","31/01/2026 15:53:51","ACTIVO","N?cleo"
"rest_helpers.py","3,45","31/01/2026 15:53:51","ACTIVO","N?cleo"
"rest_streaming.py","2,16","31/01/2026 15:53:51","ACTIVO","N?cleo"
"rest_streaming_async.py","3,26","31/01/2026 15:53:51","ACTIVO","N?cleo"
"retry_async.py","1,48","31/01/2026 15:53:51","ACTIVO","N?cleo"
"timeout.py","10,04","31/01/2026 15:53:51","ACTIVO","N?cleo"
"universe.py","2,88","31/01/2026 15:53:51","ACTIVO","N?cleo"
"version.py","0,58","31/01/2026 15:53:51","ACTIVO","N?cleo"
"version_header.py","1,02","31/01/2026 15:53:51","ACTIVO","N?cleo"
"_python_package_support.py","9,24","31/01/2026 15:53:51","ACTIVO","N?cleo"
"_python_version_support.py","10,4","31/01/2026 15:53:51","ACTIVO","N?cleo"
"_rest_streaming_base.py","4,25","31/01/2026 15:53:51","ACTIVO","N?cleo"
"__init__.py","1,62","31/01/2026 15:53:51","ACTIVO","N?cleo"
"aiohttp.py","6,82","31/01/2026 15:53:49","ACTIVO","N?cleo"
